2026-03-14 17:19:10,954 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,976 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,976 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:10,999 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:10,999 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,023 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,023 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,045 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,046 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,068 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,068 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,088 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,089 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,111 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,111 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,132 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,133 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,166 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,167 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,198 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,198 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,229 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,229 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,252 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,252 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,273 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,274 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,296 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,296 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,318 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,318 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,340 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,341 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,363 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,363 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,385 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,386 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,408 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,409 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,432 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,432 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,455 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,455 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,478 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,478 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,500 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,500 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,522 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,522 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,545 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,545 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,567 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,567 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,589 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,589 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,611 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,611 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,635 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,636 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,657 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,657 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,679 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,681 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,703 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,703 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,726 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,726 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,749 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,749 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,771 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,771 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,793 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,793 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,815 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,817 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,840 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,840 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,862 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,862 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,885 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,885 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,908 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,908 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,932 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,932 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,955 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,955 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:11,978 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:11,979 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,001 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,001 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,026 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,026 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,049 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,049 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,072 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,072 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,095 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,095 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,119 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,119 - DEBUG - Landed on platform at y=635
2026-03-14 17:19:12,145 - DEBUG - Checking collisions, on_ground initially: False
2026-03-14 17:19:12,145 - DEBUG - Landed on platform at y=635
